Feature,Gradient_Importance
IHSG,0.012348693814128637
MA10,0.007080968869850039
RSI14,0.0049567231815308335
USDIDR=X,0.0033659896161407233
BZ=F,0.003324214890599251
MACD_Signal,0.003080470017157495
^GDAXI,0.0030030681425705554
^GSPC,0.002607747740112245
NG=F,0.002210976858623326
EURUSD=X,0.002182768457569182
^IXIC,0.0020715882442891597
MACD,0.001982406007591635
FedFundsRate,0.0016033110744319856
GC=F,0.0015903810085728764
GBPUSD=X,0.001334718558937311
SI=F,0.0013309142971411347
HG=F,0.0008899080858100206
